190.184.144.6 - - [23/Jan/2021:22:15:45 +0000] "GET / HTTP/1.1" 200 1
113.161.37.182 - - [23/Jan/2021:22:40:27 +0000] "GET /login HTTP/1.0" 404 1079
113.161.37.182 - - [23/Jan/2021:22:40:28 +0000] "GET /jenkins/login HTTP/1.0" 404 1091
113.161.37.182 - - [23/Jan/2021:22:40:28 +0000] "GET /manager/html HTTP/1.0" 403 3503
47.104.168.73 - - [23/Jan/2021:23:14:06 +0000] "GET /login HTTP/1.0" 404 1079
47.104.168.73 - - [23/Jan/2021:23:14:08 +0000] "GET /jenkins/login HTTP/1.0" 404 1091
47.104.168.73 - - [23/Jan/2021:23:14:10 +0000] "GET /manager/html HTTP/1.0" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:06 +0000] "GET /login HTTP/1.0" 404 1079
185.51.213.153 - - [23/Jan/2021:23:55:06 +0000] "GET /jenkins/login HTTP/1.0" 404 1091
185.51.213.153 - - [23/Jan/2021:23:55:06 +0000] "GET /manager/html HTTP/1.0" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:07 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:07 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:07 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:08 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:08 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:08 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:09 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:09 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:09 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:10 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:10 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:10 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:11 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
185.51.213.153 - - [23/Jan/2021:23:55:11 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
