167.248.133.55 - - [17/Jan/2021:07:58:46 +0000] "GET / HTTP/1.1" 200 1
67.43.225.160 - - [17/Jan/2021:08:29:17 +0000] "GET /login HTTP/1.0" 404 1079
67.43.225.160 - - [17/Jan/2021:08:29:17 +0000] "GET /jenkins/login HTTP/1.0" 404 1091
67.43.225.160 - - [17/Jan/2021:08:29:18 +0000] "GET /manager/html HTTP/1.0" 403 3503
209.141.58.37 - - [17/Jan/2021:08:35:24 +0000] "GET /manager/html HTTP/1.1" 403 3503
188.208.213.239 - - [17/Jan/2021:08:52:29 +0000] "GET / HTTP/1.1" 200 1
130.61.219.221 - - [17/Jan/2021:08:53:57 +0000] "GET /manager/html HTTP/1.1" 403 3503
177.188.119.95 - - [17/Jan/2021:09:00:13 +0000] "GET / HTTP/1.1" 200 1
205.185.121.138 - - [17/Jan/2021:09:23:00 +0000] "GET /manager/html HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /login HTTP/1.0" 404 1079
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /jenkins/login HTTP/1.0" 404 1091
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html HTTP/1.0" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
54.156.87.231 - - [17/Jan/2021:11:09:41 +0000] "GET /manager/html/ HTTP/1.1" 403 3503
192.241.212.219 - - [17/Jan/2021:11:15:04 +0000] "GET /hudson HTTP/1.1" 404 1080
209.141.58.37 - - [17/Jan/2021:11:37:22 +0000] "GET /manager/html HTTP/1.1" 403 3503
130.61.219.221 - - [17/Jan/2021:11:44:14 +0000] "GET /manager/html HTTP/1.1" 403 3503
193.32.164.24 - - [17/Jan/2021:12:08:29 +0000] "-" 400 -
205.185.121.138 - - [17/Jan/2021:12:13:59 +0000] "GET /manager/html HTTP/1.1" 403 3503
123.130.115.2 - - [17/Jan/2021:12:31:48 +0000] "GET /login HTTP/1.0" 404 1079
123.130.115.2 - - [17/Jan/2021:12:31:52 +0000] "GET /jenkins/login HTTP/1.0" 404 1091
123.130.115.2 - - [17/Jan/2021:12:31:53 +0000] "GET /manager/html HTTP/1.0" 403 3503
27.224.137.168 - - [17/Jan/2021:12:42:50 +0000] "HEAD / HTTP/1.1" 200 -
119.39.46.111 - - [17/Jan/2021:12:42:53 +0000] "GET / HTTP/1.1" 200 1
119.118.8.34 - - [17/Jan/2021:12:42:54 +0000] "GET / HTTP/1.1" 200 1
59.173.153.172 - - [17/Jan/2021:12:42:54 +0000] "GET / HTTP/1.1" 200 1
223.166.74.187 - - [17/Jan/2021:12:42:55 +0000] "CONNECT www.baidu.com:443 HTTP/1.1" 400 -
123.160.232.107 - - [17/Jan/2021:12:42:55 +0000] "GET / HTTP/1.1" 200 1
175.184.164.139 - - [17/Jan/2021:12:42:56 +0000] "CONNECT www.voanews.com:443 HTTP/1.1" 400 -
112.80.136.122 - - [17/Jan/2021:12:42:57 +0000] "CONNECT cn.bing.com:443 HTTP/1.1" 400 -
1.202.114.51 - - [17/Jan/2021:12:43:00 +0000] "GET /english/ HTTP/1.1" 404 1086
119.118.29.87 - - [17/Jan/2021:12:43:00 +0000] "CONNECT www.ipip.net:443 HTTP/1.1" 400 -
113.58.234.7 - - [17/Jan/2021:12:43:03 +0000] "GET / HTTP/1.1" 200 1
